4, Aberdeen Township ,1301
4, Allenhurst Borough ,1302
4, Allentown Borough ,1303
4, Asbury Park City ,1304
4, Atlantic Highlands Bor. ,1305
4, Avon-by-the-Sea Bor. ,1306
4, Belmar Borough ,1307
4, Bradley Beach Borough ,1308
4, Brielle Borough ,1309
4, Colts Neck Township ,1310
4, Deal Borough ,1311
4, Eatontown Borough ,1312
4, Englishtown Borough ,1313
4, Fair Haven Borough ,1314
4, Farmingdale Borough ,1315
4, Freehold Borough ,1316
4, Freehold Township ,1317
4, Hazlet Township ,1318
4, Highlands Borough ,1319
4, Holmdel Township ,1320
4, Howell Township ,1321
4, Interlaken Borough ,1322
4, Keansburg Borough ,1323
4, Keyport Borough ,1324
4, Lake Como Borough ,1346
4, Little Silver Borough ,1325
4, Loch Arbour Village ,1326
4, Long Branch City ,1327
4, Manalapan Township ,1328
4, Manasquan Borough ,1329
4, Marlboro Township ,1330
4, Matawan Borough ,1331
4, Middletown Township ,1332
4, Millstone Township ,1333
4, Monmouth Beach Borough ,1334
4, Neptune City Borough ,1336
4, Neptune Township ,1335
4, Ocean Township ,1337
4, Oceanport Borough ,1338
4, Red Bank Borough ,1339
4, Roosevelt Borough ,1340
4, Rumson Borough ,1341
4, Sea Bright Borough ,1342
4, Sea Girt Borough ,1343
4, Shrewsbury Borough ,1344
4, Shrewsbury Township ,1345
4, Spring Lake Borough ,1347
4, Spring Lake Heights Bor. ,1348
4, Tinton Falls Borough ,1349
4, Union Beach Borough ,1350
4, Upper Freehold Township ,1351
4, Wall Township ,1352
4, West Long Branch Boro ,1353
3, Allendale Borough ,201
3, Alpine Borough ,202
3, Bergenfield Borough ,203
3, Bogota Borough ,204
3, Carlstadt Borough ,205
3, Cliffside Park Borough ,206
3, Closter Borough ,207
3, Cresskill Borough ,208
3, Demarest Borough ,209
3, Dumont Borough ,210
3, East Rutherford Borough ,212
3, Edgewater Borough ,213
3, Elmwood Park Borough ,211
3, Emerson Borough ,214
3, Englewood City ,215
3, Englewood Cliffs Boro ,216
3, Fair Lawn Borough ,217
3, Fairview Borough ,218
3, Fort Lee Borough ,219
3, Franklin Lakes Borough ,220
3, Garfield City ,221
3, Glen Rock Borough ,222
3, Hackensack City ,223
3, Harrington Park Borough ,224
3, Hasbrouck Heights Bor. ,225
3, Haworth Borough ,226
3, Hillsdale Borough ,227
3, Ho Ho Kus Borough ,228
3, Leonia Borough ,229
3, Little Ferry Borough ,230
3, Lodi Borough ,231
3, Lyndhurst Township ,232
3, Mahwah Township ,233
3, Maywood Borough ,234
3, Midland Park Borough ,235
3, Montvale Borough ,236
3, Moonachie Borough ,237
3, New Milford Borough ,238
3, North Arlington Borough ,239
3, Northvale Borough ,240
3, Norwood Borough ,241
3, Oakland Borough ,242
3, Old Tappan Borough ,243
3, Oradell Borough ,244
3, Palisades Park Borough ,245
3, Paramus Borough ,246
3, Park Ridge Borough ,247
3, Ramsey Borough ,248
3, Ridgefield Borough ,249
3, Ridgefield Park Village ,250
3, Ridgewood Village ,251
3, River Edge Borough ,252
3, River Vale Township ,253
3, Rochelle Park Township ,254
3, Rockleigh Borough ,255
3, Rutherford Borough ,256
3, Saddle Brook Township ,257
3, Saddle River Borough ,258
3, South Hackensack Twp. ,259
3, Teaneck Township ,260
3, Tenafly Borough ,261
3, Teterboro Borough ,262
3, Upper Saddle River Bor. ,263
3, Waldwick Borough ,264
3, Wallington Borough ,265
3, Washington Township ,266
3, Westwood Borough ,267
3, Woodcliff Lake Borough ,268
3, Wood-Ridge Borough ,269
3, Wyckoff Township ,270
